id,rz,spp,gen,nub,vol_ml,tot_zoox,zoox_cm2,tank,pco2,temp,time,sur_area,perchg_day_bw,prot_mg_cm2,chlA_ug_cm2,chlA_ug_zoox,chlA_pg_zoox,carbs_mg_mL,carbs_sd,treatment,gen_rz,Growthmg.cm2.day
SNPX27,N,P,X,27,12,2736000,188634.2382,2800_31_1,2800,31,T30,14.50425981,0.00124006,0.861815781,12.93655812,6.86E-05,68.6,6.103393227,0.86177238,"2917uatm, 31°C",X_N,1.271445271
SNPX28,N,P,X,28,27.5,8470000,509727.1009,2800_31_1,2800,31,T60,16.61673469,0.001044059,0.262035036,3.756945101,7.37E-06,7.37,1.753491041,0.971883384,"2917uatm, 31°C",X_N,0.16600503
SNPX29,N,P,X,29,31,58652000,5855960.902,2800_28_1,2800,28,T0,10.01577725,NA,0.515852793,9.034322321,1.54E-06,1.54,3.125861288,0.504449597,"2750uatm, 28°C",X_N,NA
SNPX30,N,P,X,30,18,71136000,5254597.037,2800_28_1,2800,28,T60,13.53786018,0.001471881,0.642642182,19.94808606,3.80E-06,3.8,3.721199709,0.753629931,"2750uatm, 28°C",X_N,0.871718266
SNPX32,N,P,X,32,9.5,16948000,1064152.761,2800_28_1,2800,28,T30,15.92628486,0.000222076,0.63626473,7.509316896,7.06E-06,7.06,4.896784915,1.250994869,"2750uatm, 28°C",X_N,0.152516398
SNPX39,N,P,X,39,7.5,17970000,979360.3804,2800_28_1,2800,28,T90,18.3487104,0.001111648,0.592684704,14.14447088,1.44E-05,14.4,8.570358203,0.930707418,"2750uatm, 28°C",X_N,0.882423504
SNPX5,N,P,X,5,10,11760000,1039245.433,280_28_1,280,28,T0,11.3159025,NA,0.692241147,12.38192358,1.19E-05,11.9,3.266994974,0.440974572,"358uatm, 28°C",X_N,NA
SNPX6,N,P,X,6,17.5,50050000,2872149.867,280_28_1,280,28,T90,17.4259709,0.001987795,0.987510735,31.59826233,1.10E-05,11,7.41025142,0.408308789,"358uatm, 28°C",X_N,1.915025739
SNPX7,N,P,X,7,15,NA,NA,280_28_1,280,28,T60,9.799311521,0.001664341,0.880163875,29.70592366,NA,NA,3.341020003,0.72190251,"358uatm, 28°C",X_N,1.351241313
SNPX8,N,P,X,8,26,99736000,7837289.87,280_28_1,280,28,T30,12.72582763,0.002321146,1.345033672,22.32335752,2.85E-06,2.85,5.796911031,1.117773335,"358uatm, 28°C",X_N,1.877408273
SNPX9,N,P,X,9,9,NA,NA,400_31_1,400,31,T0,14.97505892,NA,NA,NA,NA,NA,NA,NA,"424uatm, 31°C",X_N,NA
SNPY10,N,P,Y,10,7.5,2685000,252116.1611,400_31_2,400,31,T30,10.64985278,0.001462185,0.627942952,13.1892302,5.23E-05,52.3,4.201985239,0.720660321,"424uatm, 31°C",Y_N,1.151547329
SNPY11,N,P,Y,11,8.5,3485000,386055.1635,400_31_2,400,31,T60,9.027207326,0.000549461,0.776818317,22.72809216,5.89E-05,58.9,2.626835852,0.837986815,"424uatm, 31°C",Y_N,-0.303171294
SNPY12,N,P,Y,12,10,17180000,1458400.856,400_31_2,400,31,T90,11.780026,0.001303653,0.721560377,13.39759352,9.19E-06,9.19,3.046660256,0.097823543,"424uatm, 31°C",Y_N,1.420894321
SNPY17,N,P,Y,17,26,12064000,1355152.597,700_31_2,700,31,T0,8.902318474,NA,0.365073437,15.56160908,1.15E-05,11.5,4.299312347,0.353341551,"606uatm, 31°C",Y_N,NA
SNPY18,N,P,Y,18,11,5302000,403523.1659,700_31_2,700,31,T30,13.13927043,0.001185413,0.941833115,14.81433852,3.67E-05,36.7,5.701660855,1.917899491,"606uatm, 31°C",Y_N,1.730870909
SNPY19,N,P,Y,19,11,21428000,2048924.462,700_31_2,700,31,T60,10.45816983,0.001132179,0.850212495,16.09704209,7.86E-06,7.86,3.39008268,1.150147554,"606uatm, 31°C",Y_N,0.757314935
SNPY20,N,P,Y,20,8.5,22814000,1658622.419,700_31_2,700,31,T90,13.75478815,0.001451987,0.736410227,17.46615051,1.05E-05,10.5,5.545092177,1.724650005,"606uatm, 31°C",Y_N,1.383865572
SNPY21,N,P,Y,21,21,44604000,5116223.818,700_28_2,700,28,T0,8.718148695,NA,1.003653448,9.493978928,1.86E-06,1.86,2.802155878,0.261120134,"674uatm, 28°C",Y_N,NA
SNPY22,N,P,Y,22,12,25032000,2268823.239,700_28_2,700,28,T60,11.03303227,0.001289796,0.842923303,14.94044393,6.59E-06,6.59,4.235440497,0.513036525,"674uatm, 28°C",Y_N,0.765207959
SNPY23,N,P,Y,23,10,6240000,639288.0622,700_28_2,700,28,T30,9.760858005,0.001791346,0.887900086,1.352812426,2.12E-06,2.12,3.835379226,0.463648332,"674uatm, 28°C",Y_N,1.686307076
SNPY24,N,P,Y,24,9,7218000,545891.0288,700_28_2,700,28,T90,13.22241916,0.001810558,0.709023053,16.57790434,3.04E-05,30.4,4.468003804,0.128413605,"674uatm, 28°C",Y_N,1.824477027
SNPY26,N,P,Y,26,30,6360000,508102.2015,2800_31_2,2800,31,T90,12.51716679,0.001287905,0.938710828,19.1930973,3.78E-05,37.8,3.064628923,0.801868102,"2917uatm, 31°C",Y_N,0.659787219
SNPY27,N,P,Y,27,14,1988000,214117.1559,2800_31_2,2800,31,T60,9.284636684,0.000835401,1.130900471,10.29347763,4.81E-05,48.1,3.741490882,0.323638449,"2917uatm, 31°C",Y_N,-0.222374524
SNPY28,N,P,Y,28,9.5,11875000,1331164.233,2800_31_2,2800,31,T30,8.920762525,0.002915712,0.709954257,3.400749646,2.55E-06,2.55,2.798184157,0.182598464,"2917uatm, 31°C",Y_N,2.369983369
SNPY29,N,P,Y,29,7.5,8730000,1188495.158,2800_28_2,2800,28,T0,7.34542328,NA,0.774291662,9.644841053,8.12E-06,8.12,3.27096852,0.607094028,"2750uatm, 28°C",Y_N,NA
SNPY30,N,P,Y,30,15,31500000,3468320.041,2800_28_2,2800,28,T60,9.08220684,0.000798885,1.4726597,18.53575931,5.34E-06,5.34,NA,NA,"2750uatm, 28°C",Y_N,-0.260832348
SNPY31,N,P,Y,31,21,14700000,1221888.674,2800_28_2,2800,28,T90,12.03055591,0.001732074,1.381897905,16.76265017,1.37E-05,13.7,7.984094191,1.179396663,"2750uatm, 28°C",Y_N,1.43617636
SNPY32,N,P,Y,32,10,21840000,1749887.312,2800_28_2,2800,28,T30,12.48080368,0.001539512,0.767845852,9.779062564,5.59E-06,5.59,3.557507347,0.349321996,"2750uatm, 28°C",Y_N,1.720854491
SNPY33,N,P,Y,33,14,17164000,2081953.547,2800_31_2,2800,31,T0,8.244180101,NA,0.820781034,12.57102086,6.04E-06,6.04,3.716977519,0.855129987,"2917uatm, 31°C",Y_N,NA
SNPY5,N,P,Y,5,11.5,7705000,693642.4959,280_28_2,280,28,T0,11.10802762,NA,1.026659913,12.36104957,1.78E-05,17.8,6.571241843,0.936560551,"358uatm, 28°C",Y_N,NA
SNPY6,N,P,Y,6,14,9940000,716025.3178,280_28_2,280,28,T90,13.88219069,0.001893362,1.00008231,NA,NA,NA,5.025677479,0.541554235,"358uatm, 28°C",Y_N,2.459436436
SNPY7,N,P,Y,7,7.5,33210000,2851864.057,280_28_2,280,28,T30,11.6450151,0.002786127,0.606482683,10.66163324,3.74E-06,3.74,4.560951417,0.274941253,"358uatm, 28°C",Y_N,2.160525481
SNPY8,N,P,Y,8,7.5,6855000,735194.7328,280_28_2,280,28,T60,9.324060272,0.002107396,0.710527368,14.10544293,1.92E-05,19.2,2.430009538,0.136828606,"358uatm, 28°C",Y_N,1.953197198
SNPY9,N,P,Y,9,8,5280000,518346.0636,400_31_2,400,31,T0,10.186245,NA,0.628298259,11.0006229,2.12E-05,21.2,2.991637497,0.068530428,"424uatm, 31°C",Y_N,NA
SNPZ10,N,P,Z,10,9,6570000,580867.7384,400_31_3,400,31,T90,11.31066431,0.001563815,0.52384191,6.062045349,1.04E-05,10.4,1.585693147,0.120018995,"424uatm, 31°C",Z_N,-0.378099732
SNPZ11,N,P,Z,11,12,26256000,2604663.915,400_31_3,400,31,T30,10.08037922,0.003119152,0.575375179,10.73343747,4.12E-06,4.12,2.74714908,0.182619602,"424uatm, 31°C",Z_N,2.203743624
SNPZ12,N,P,Z,12,9,8190000,661081.4139,400_31_3,400,31,T60,12.3887918,0.003220347,0.387446983,8.422064208,1.27E-05,12.7,1.09663424,0.173023213,"424uatm, 31°C",Z_N,1.367683862
SNPZ17,N,P,Z,17,13,54938000,4704844.707,700_31_2,700,31,T0,11.67689975,NA,0.649430371,12.96026199,2.75E-06,2.75,3.141399147,0.303976074,"606uatm, 31°C",Z_N,NA
SNPZ18,N,P,Z,18,7,6916000,551466.8799,700_31_3,700,31,T30,12.54109767,0.003141136,0.311642046,5.704993447,1.03E-05,10.3,1.339931458,0.279034378,"606uatm, 31°C",Z_N,2.932431094
SNPZ19,N,P,Z,19,9,8100000,677031.9215,700_31_3,700,31,T90,11.96398536,0.001664215,0.376128845,6.844969924,1.01E-05,10.1,1.825746451,0.145369076,"606uatm, 31°C",Z_N,0.86740884
SNPZ20,N,P,Z,20,7.5,11340000,1031939.541,700_31_3,700,31,T60,10.98901588,0.000938364,0.381062331,6.159692621,5.97E-06,5.97,1.180471348,0.091050936,"606uatm, 31°C",Z_N,0.412661483
SNPZ21,N,P,Z,21,7,16310000,1469613.681,700_28_3,700,28,T0,11.09815471,NA,0.683296776,18.48696521,1.26E-05,12.6,3.845074552,0.229814688,"674uatm, 28°C",Z_N,NA
SNPZ22,N,P,Z,22,9,23166000,1746870.629,700_28_3,700,28,T90,13.26142853,0.002236943,0.288430465,14.14894327,8.10E-06,8.1,1.148653239,0.146407388,"674uatm, 28°C",Z_N,2.159169097
SNPZ23,N,P,Z,23,7,16450000,1422033.727,700_28_3,700,28,T30,11.56793941,0.001777482,0.640419444,13.44615618,9.46E-06,9.46,5.116101038,1.660639015,"674uatm, 28°C",Z_N,1.797250959
SNPZ24,N,P,Z,24,17,7038000,538597.9771,700_28_3,700,28,T60,13.06726037,0.004172423,0.737211402,25.76601296,4.78E-05,47.8,4.823897168,1.876958189,"674uatm, 28°C",Z_N,2.16694432
SNPZ25,N,P,Z,25,9.5,NA,NA,2800_31_3,2800,31,T0,12.58377651,NA,NA,NA,NA,NA,NA,NA,"2917uatm, 31°C",Z_N,NA
SNPZ26,N,P,Z,26,9,14130000,1154315.32,2800_31_3,2800,31,T60,12.24102267,0.002360346,0.508535942,7.434986638,6.44E-06,6.44,1.889944526,0.177930487,"2917uatm, 31°C",Z_N,0.912581705
SNPZ27,N,P,Z,27,12,3264000,233790.0408,2800_31_3,2800,31,T90,13.96124484,0.001023416,0.487062585,3.680221971,1.57E-05,15.7,2.28350768,0.486087451,"2917uatm, 31°C",Z_N,-0.710888535
SNPZ28,N,P,Z,28,8,15872000,1284989.738,2800_31_3,2800,31,T30,12.35184962,0.002076693,0.458770698,7.623823389,5.93E-06,5.93,2.605152327,0.738471881,"2917uatm, 31°C",Z_N,1.919947432
SNPZ30,N,P,Z,30,9,14850000,1069882.479,2800_28_3,2800,28,T90,13.88002915,0.001313641,0.416065409,11.0673658,1.03E-05,10.3,2.232901704,0.449554849,"2750uatm, 28°C",Z_N,1.088230183
SNPZ31,N,P,Z,31,10,23540000,1919656.404,2800_28_3,2800,28,T30,12.26261114,0.002306086,0.733938302,26.31269934,1.37E-05,13.7,3.549045822,0.255859144,"2750uatm, 28°C",Z_N,1.860941339
SNPZ32,N,P,Z,32,4.5,5535000,735450.2551,2800_28_3,2800,28,T60,7.526001877,0.001099716,0.468376179,4.799913764,6.53E-06,6.53,1.075184965,0.335684067,"2750uatm, 28°C",Z_N,-0.48514471
SNPZ5,N,P,Z,5,10,26900000,2437684.521,280_28_3,280,28,T0,11.03506207,NA,0.747617,17.48028228,7.17E-06,7.17,3.901407271,0.416263236,"358uatm, 28°C",Z_N,NA
SNPZ6,N,P,Z,6,18,80424000,6162067.203,280_28_3,280,28,T30,13.05146428,0.004109697,1.01138077,16.79505037,2.73E-06,2.73,3.982798228,0.836963612,"358uatm, 28°C",Z_N,3.289931689
SNPZ7,N,P,Z,7,8.5,13362000,1004809.952,280_28_3,280,28,T90,13.29803709,0.002930096,0.665825085,20.83531563,2.07E-05,20.7,3.966692551,0.702206453,"358uatm, 28°C",Z_N,2.522661908
SNPZ8,N,P,Z,8,12,17616000,1437577.873,280_28_3,280,28,T60,12.25394487,0.002146307,0.661011624,12.73633933,8.86E-06,8.86,3.631260795,0.684010851,"358uatm, 28°C",Z_N,0.786614915
SNPZ9,N,P,Z,9,7.5,16980000,1749613.857,400_31_3,400,31,T0,9.704998581,NA,0.528078387,11.45577087,6.55E-06,6.55,3.661442538,0.297801943,"424uatm, 31°C",Z_N,NA
SNSX10,N,S,X,10,10,12980000,1147926.041,400_31_1,400,31,T60,11.30734868,0.000503083,0.552737885,11.01103393,9.59E-06,9.59,4.061165604,0.714883616,"424uatm, 31°C",X_N,0.67491343
SNSX11,N,S,X,11,4,7440000,692263.2523,400_31_1,400,31,T30,10.74735655,0.001290218,0.322559938,2.104837584,3.04E-06,3.04,1.905139565,0.728254929,"424uatm, 31°C",X_N,1.197503771
SNSX12,N,S,X,12,9,4662000,567068.1577,400_31_1,400,31,T90,8.221233968,0.000828558,0.264558825,6.932292673,1.22E-05,12.2,2.563381143,1.326012315,"424uatm, 31°C",X_N,0.941111371
SNSX17,N,S,X,17,35,27020000,2758199.688,700_31_1,700,31,T0,9.796245036,NA,0.24562983,3.329536969,1.21E-06,1.21,5.198585515,0.209312614,"606uatm, 31°C",X_N,NA
SNSX18,N,S,X,18,9.5,32452000,2823598.827,700_31_1,700,31,T30,11.49313411,0.001050635,0.406402056,3.905998099,1.38E-06,1.38,3.872656863,0.507463249,"606uatm, 31°C",X_N,1.543157342
SNSX19,N,S,X,19,26,39000000,2982693.913,700_31_1,700,31,T90,13.07542816,0.001323425,0.695961913,11.96298263,4.01E-06,4.01,4.897613211,0.293638932,"606uatm, 31°C",X_N,1.774702879
SNSX20,N,S,X,20,7.5,10995000,1060587.76,700_31_1,700,31,T60,10.36689316,0.00123535,0.518477418,5.396008149,5.09E-06,5.09,3.478776747,1.028591417,"606uatm, 31°C",X_N,1.087596817
SNSX21,N,S,X,21,18,10872000,1144718.218,700_28_1,700,28,T0,9.497533826,NA,0.135035055,1.975620234,1.73E-06,1.73,0.92142461,0.724127862,"674uatm, 28°C",X_N,NA
SNSX22,N,S,X,22,11.5,10695000,945909.5177,700_28_1,700,28,T90,11.30657827,0.001559632,0.491601721,9.957134448,1.05E-05,10.5,3.548338141,0.868669521,"674uatm, 28°C",X_N,2.194150409
SNSX23,N,S,X,23,9,NA,NA,700_28_1,700,28,T30,10.53825664,0.001209169,0.548003355,5.058658353,NA,NA,3.783412135,0.169815351,"674uatm, 28°C",X_N,1.881240956
SNSX24,N,S,X,24,23,42780000,4818661.989,700_28_1,700,28,T60,8.877983162,0.000923601,1.101038358,10.13289599,2.10E-06,2.1,5.343672245,0.455015489,"674uatm, 28°C",X_N,1.162989365
SNSX25,N,S,X,25,21.5,41452000,3700401.493,2800_31_1,2800,31,T0,11.20202769,NA,0.172736584,1.291480471,3.49E-07,0.349,4.35525975,1.849663579,"2917uatm, 31°C",X_N,NA
SNSX26,N,S,X,26,13,10036000,823096.6869,2800_31_1,2800,31,T60,12.19297825,0.000499207,0.630827556,3.969445284,4.82E-06,4.82,4.902799378,0.969901125,"2917uatm, 31°C",X_N,-0.494136861
SNSX27,N,S,X,27,4,1696000,173776.8647,2800_31_1,2800,31,T30,9.759642072,0.000855898,0.283480341,1.688979973,9.72E-06,9.72,2.951227544,0.58093181,"2917uatm, 31°C",X_N,1.077365933
SNSX28,N,S,X,28,21.5,11524000,1050516.688,2800_31_1,2800,31,T90,10.96984002,0.000361593,0.326653199,4.042370712,3.85E-06,3.85,2.792236256,0.813685508,"2917uatm, 31°C",X_N,0.138257866
SNSX29,N,S,X,29,17,44064000,4051086.33,2800_28_1,2800,28,T0,10.87708244,NA,0.677264947,3.176028147,7.84E-07,0.784,7.233623531,0.827593858,"2750uatm, 28°C",X_N,NA
SNSX30,N,S,X,30,9,7254000,804722.5399,2800_28_1,2800,28,T90,9.014287087,0.000133135,0.341125146,6.069511595,7.54E-06,7.54,2.275174654,0.319920606,"2750uatm, 28°C",X_N,0.447068078
SNSX31,N,S,X,31,9,14022000,1526842.224,2800_28_1,2800,28,T60,9.183660091,0.000248692,0.677834321,7.809766399,5.11E-06,5.11,4.372887841,1.403859593,"2750uatm, 28°C",X_N,-0.079271227
SNSX32,N,S,X,32,9,9720000,1122590.542,2800_28_1,2800,28,T30,8.658544355,0.000463851,0.251196958,3.078429688,2.74E-06,2.74,2.783835205,0.079973265,"2750uatm, 28°C",X_N,0.51666068
SNSX5,N,S,X,5,7.5,27135000,2769938.098,280_28_1,280,28,T0,9.796247799,NA,0.561439452,2.899918477,1.05E-06,1.05,3.867398306,0.758758697,"358uatm, 28°C",X_N,NA
SNSX6,N,S,X,6,12.5,11650000,1200416.392,280_28_1,280,28,T60,9.704965771,0.001518356,0.558133516,8.311786142,6.92E-06,6.92,3.172224702,1.016844891,"358uatm, 28°C",X_N,1.200607207
SNSX7,N,S,X,7,26,76960000,7375529.788,280_28_1,280,28,T30,10.43450467,0.001585748,0.892871005,6.117304273,8.29E-07,0.829,7.192075667,0.307878178,"358uatm, 28°C",X_N,1.58847981
SNSX8,N,S,X,8,10,23200000,1624165.577,280_28_1,280,28,T90,14.28425791,0.001424639,0.560057096,12.52198057,7.71E-06,7.71,4.856728432,0.749996496,"358uatm, 28°C",X_N,1.84660761
SNSX9,N,S,X,9,18,65016000,6643221.676,400_31_1,400,31,T0,9.786817778,NA,0.444475426,4.067381339,6.12E-07,0.612,3.657751272,0.704924511,"424uatm, 31°C",X_N,NA
SNSY1,N,S,Y,1,8,11376000,1432268.003,400_31_2,400,31,T60,7.942647586,NA,0.629513011,15.65350076,1.09E-05,10.9,3.34289783,1.158933793,"424uatm, 31°C",Y_N,0.12730152
SNSY11,N,S,Y,11,11.5,24081000,1929425.174,400_31_2,400,31,T90,12.48091936,0.00061673,0.491416791,12.78572479,6.63E-06,6.63,3.489697155,0.637132678,"424uatm, 31°C",Y_N,0.871911576
SNSY17,N,S,Y,17,11,25498000,3242447.069,700_31_2,700,31,T0,7.863813799,NA,0.582838487,3.545638378,1.09E-06,1.09,4.436931394,0.925569413,"606uatm, 31°C",Y_N,NA
SNSY18,N,S,Y,18,5,7600000,633937.6555,700_31_2,700,31,T30,11.9885606,0.00106654,0.063602298,3.452037436,5.45E-06,5.45,1.282811952,0.124231439,"606uatm, 31°C",Y_N,1.567684924
SNSY19,N,S,Y,19,8,35760000,3714739.084,700_31_2,700,31,T60,9.626517285,0.001321373,0.588651794,13.44366568,3.62E-06,3.62,3.257586267,0.328406619,"606uatm, 31°C",Y_N,1.306287583
SNSY20,N,S,Y,20,13,27430000,2200513.572,700_31_2,700,31,T90,12.4652719,0.001195271,0.617047645,11.07142476,5.03E-06,5.03,3.976441621,0.403113955,"606uatm, 31°C",Y_N,1.437460288
SNSY21,N,S,Y,21,10,34640000,3731291.122,700_28_2,700,28,T0,9.283649778,NA,0.175038917,4.9867284,1.34E-06,1.34,2.333451841,0.348147926,"674uatm, 28°C",Y_N,NA
SNSY22,N,S,Y,22,11,27016000,2336357.642,700_28_2,700,28,T90,11.56329815,0.001172942,0.491497604,14.26744237,6.11E-06,6.11,5.084757482,0.391263988,"674uatm, 28°C",Y_N,1.909345677
SNSY23,N,S,Y,23,17.5,27580000,3378828.293,700_28_2,700,28,T60,8.162592949,0.001029954,0.464517426,12.78260482,3.78E-06,3.78,3.303443909,0.298953947,"674uatm, 28°C",Y_N,0.35221651
SNSY24,N,S,Y,24,8,22704000,2766033.752,700_28_2,700,28,T30,8.208142791,0.000182537,0.487320957,5.896505608,2.13E-06,2.13,4.762941866,0.896171401,"674uatm, 28°C",Y_N,0.265518257
SNSY25,N,S,Y,25,20,15600000,1951596.947,2800_31_2,2800,31,T0,7.993453783,NA,0.215801585,4.036583043,2.07E-06,2.07,1.785466552,0.579855291,"2917uatm, 31°C",Y_N,NA
SNSY26,N,S,Y,26,12.5,39075000,3256540.381,2800_31_2,2800,31,T60,11.99892998,0.000882332,0.75527568,6.09430342,1.87E-06,1.87,4.622840018,0.63122457,"2917uatm, 31°C",Y_N,0.214519128
SNSY28,N,S,Y,28,8,38048000,3692237.593,2800_31_2,2800,31,T30,10.30486231,0.000484236,0.388166273,2.739770718,7.42E-07,0.742,4.126559547,0.614413657,"2917uatm, 31°C",Y_N,0.578824413
SNSY29,N,S,Y,29,14,28392000,3234462.624,2800_28_2,2800,28,T0,8.777965091,NA,0.257178056,2.83677592,8.77E-07,0.877,5.335362638,0.737053192,"2750uatm, 28°C",Y_N,NA
SNSY30,N,S,Y,30,10,21580000,2185185.665,2800_28_2,2800,28,T30,9.875591052,0.000564672,0.531613751,5.202775179,2.38E-06,2.38,5.383365601,1.350727487,"2750uatm, 28°C",Y_N,0.789826144
SNSY31,N,S,Y,31,10,16780000,2218001.887,2800_28_2,2800,28,T60,7.565367773,0.000322581,0.991359604,9.248544433,4.17E-06,4.17,2.767394499,0.306923794,"2750uatm, 28°C",Y_N,-1.051634268
SNSY32,N,S,Y,32,23,58052000,5294519.318,2800_28_2,2800,28,T90,10.96454588,0.000870532,1.136237968,9.532046389,1.80E-06,1.8,7.998669501,0.972444561,"2750uatm, 28°C",Y_N,1.839717476
SNSY37,N,S,Y,37,22,21912000,2104832.927,400_31_2,400,31,T0,10.41032745,NA,0.405046497,4.463874958,2.12E-06,2.12,4.562005242,0.840830402,"424uatm, 31°C",Y_N,NA
SNSY40,N,S,Y,40,17.5,38430000,4002636.385,2800_31_2,2800,31,T90,9.601171904,0.000361617,0.622753839,11.48833091,2.87E-06,2.87,3.988861855,1.127246873,"2917uatm, 31°C",Y_N,-0.029336697
SNSY5,N,S,Y,5,10,43300000,4752004.979,280_28_2,280,28,T0,9.111943316,NA,0.365820245,2.732800143,5.75E-07,0.575,3.006535948,0.081223989,"358uatm, 28°C",Y_N,NA
SNSY6,N,S,Y,6,9,21168000,2091283.469,280_28_2,280,28,T90,10.12201374,0.001211096,0.392708418,15.93864661,7.62E-06,7.62,2.264444143,0.162119859,"358uatm, 28°C",Y_N,1.041964027
SNSY7,N,S,Y,7,65.5,41658000,4558056.598,280_28_2,280,28,T60,9.139421396,0.000684479,0.349379338,8.979614403,1.97E-06,1.97,2.185281923,0.650061361,"358uatm, 28°C",Y_N,1.369727686
SNSY8,N,S,Y,8,45,59400000,4895588.306,280_28_2,280,28,T30,12.13337321,0.000987573,0.449689456,8.469282056,1.73E-06,1.73,8.879263906,1.874974745,"358uatm, 28°C",Y_N,0.965770635
SNSZ10,N,S,Z,10,9,7344000,858252.833,400_31_3,400,31,T90,8.556919031,0.000407711,0.455771521,12.68538823,1.48E-05,14.8,2.397826644,0.470553435,"424uatm, 31°C",Z_N,0.352855371
SNSZ12,N,S,Z,12,4,10152000,1160352.727,400_31_3,400,31,T60,8.749063764,0.000706604,NA,NA,NA,NA,NA,NA,"424uatm, 31°C",Z_N,0.16509703
SNSZ17,N,S,Z,17,21,21756000,2043328.247,700_31_2,700,31,T0,10.64733482,NA,0.073962171,0.986543597,4.83E-07,0.483,1.142880485,0.297366748,"606uatm, 31°C",Z_N,NA
SNSZ18,N,S,Z,18,13,21502000,2013440.338,700_31_3,700,31,T90,10.67923374,0.001081896,0.578225006,10.80479019,5.37E-06,5.37,4.232939709,1.026526054,"606uatm, 31°C",Z_N,1.830031424
SNSZ19,N,S,Z,19,6,28548000,2338090.253,700_31_3,700,31,T30,12.20996494,0.000834181,0.274366062,9.737462853,4.16E-06,4.16,2.504006527,0.889736214,"606uatm, 31°C",Z_N,1.25026684
SNSZ20,N,S,Z,20,15,31200000,3298029.212,700_31_3,700,31,T60,9.460195162,0.000772277,0.766368968,10.51026097,3.19E-06,3.19,4.344902933,0.349820568,"606uatm, 31°C",Z_N,1.498383464
SNSZ21,N,S,Z,21,18,49968000,4092232.194,700_28_3,700,28,T0,12.21045083,NA,0.234020843,1.709014703,4.18E-07,0.418,5.114302613,0.819639401,"674uatm, 28°C",Z_N,NA
SNSZ22,N,S,Z,22,12,23352000,2237756.774,700_28_3,700,28,T90,10.43545048,0.00110598,0.75703488,15.9640449,7.13E-06,7.13,5.264391344,0.819259932,"674uatm, 28°C",Z_N,0.901095104
SNSZ23,N,S,Z,23,10.5,21945000,2684161.288,700_28_3,700,28,T30,8.175738208,0.000894048,0.385286309,4.311214364,1.61E-06,1.61,4.083309933,0.525708423,"674uatm, 28°C",Z_N,1.213597913
SNSZ24,N,S,Z,24,20,64800000,5295533.639,700_28_3,700,28,T60,12.2367271,0.000912964,0.708250384,9.90246485,1.87E-06,1.87,6.608748503,1.017017781,"674uatm, 28°C",Z_N,0.713017454
SNSZ25,N,S,Z,25,10,26920000,2508077.15,2800_31_3,2800,31,T0,10.73332214,NA,0.240683481,18.64154988,7.43E-06,7.43,3.889841204,0.311238376,"2917uatm, 31°C",Z_N,NA
SNSZ26,N,S,Z,26,10,14480000,1379291.301,2800_31_3,2800,31,T30,10.49814494,0.001031091,0.269888952,2.188211358,1.59E-06,1.59,2.292430126,0.292074733,"2917uatm, 31°C",Z_N,1.309334965
SNSZ29,N,S,Z,29,10,18480000,1765084.07,2800_28_3,2800,28,T0,10.46975626,NA,0.469606602,1.815612467,1.03E-06,1.03,4.469678052,0.655653301,"2750uatm, 28°C",Z_N,NA
SNSZ32,N,S,Z,32,20,27760000,2857605.155,2800_28_3,2800,28,T90,9.714428164,0.000550086,0.977926836,14.3870455,5.03E-06,5.03,7.630628618,0.790535742,"2750uatm, 28°C",Z_N,0.655725679
SNSZ34,N,S,Z,34,60,110160000,10549932.15,400_31_3,400,31,T30,10.44177331,0.001081177,0.280124832,10.37874284,9.84E-07,0.984,4.079384012,0.80627026,"424uatm, 31°C",Z_N,1.246777826
SNSZ41,N,S,Z,41,16,26304000,3010142.223,2800_31_3,2800,31,T90,8.738457538,0.000341453,0.839202262,7.24440895,2.41E-06,2.41,4.409231809,0.846636363,"2917uatm, 31°C",Z_N,0.391754874
SNSZ42,N,S,Z,42,5.5,NA,NA,2800_31_3,2800,31,T60,8.058395622,0.000117861,0.477762595,7.072375529,NA,NA,3.100611826,0.862223907,"2917uatm, 31°C",Z_N,-1.409958078
SNSZ48,N,S,Z,48,5,12690000,1676899.906,2800_28_3,2800,28,T30,7.567535755,5.69E-05,0.253274874,4.58818843,2.74E-06,2.74,1.848322816,0.407693084,"2750uatm, 28°C",Z_N,-0.00520565
SNSZ5,N,S,Z,5,13,NA,NA,280_28_3,280,28,T0,13.01024274,NA,0.616181176,3.302259677,NA,NA,5.030531061,0.922093113,"358uatm, 28°C",Z_N,NA
SNSZ52,N,S,Z,52,6,6564000,986365.2024,2800_28_3,2800,28,T60,6.654735978,0.000359882,0.360645412,7.246568483,7.35E-06,7.35,2.565835618,1.583757416,"2750uatm, 28°C",Z_N,0.625118715
SNSZ6,N,S,Z,6,10,16680000,1510987.645,280_28_3,280,28,T60,11.03913725,0.001007943,0.596363029,13.97906344,9.25E-06,9.25,3.686851761,0.28013239,"358uatm, 28°C",Z_N,1.120927641
SNSZ7,N,S,Z,7,20,65200000,5483084.184,280_28_3,280,28,T30,11.89111781,0.001030566,0.1976265,4.571613944,8.34E-07,0.834,3.076172765,0.437636164,"358uatm, 28°C",Z_N,1.310385171
SNSZ8,N,S,Z,8,10,28440000,2339857.282,280_28_3,280,28,T90,12.15458747,0.00098561,0.459360167,17.02441983,7.28E-06,7.28,5.094014051,0.708803945,"358uatm, 28°C",Z_N,1.307617262
